#{"t_start": 1747919664.0663974, "env_id": "None"}
r,l,t
2.6154325,288,18621.142458
2.2008748,288,18621.142465
0.5874842,288,18621.142472
2.2528532,288,18621.142479
3.4861627,288,18621.142487
1.9923812,288,18621.142494
0.8151377,288,18621.142502
2.7084043,288,18621.142509
1.804598,288,18621.142518
1.6318305,288,18621.142525
0.6474442,288,18621.142533
3.4278111,288,18621.14254
1.0869637,288,18621.142547
2.8150356,288,18621.142555
0.6632141,288,18621.142563
1.3046138,288,18621.14257
1.9700118,288,18621.142578
1.7176049,288,18621.142587
2.900626,288,18621.142595
2.4722683,288,18621.142602
1.2283319,288,18621.14261
2.2335994,288,18621.142618
0.4784979,288,18621.142625
1.3995466,288,18621.142633
1.7752395,288,18621.14264
1.2443498,288,18621.142648
1.0859021,288,18621.142656
2.403455,288,18621.142664
1.4330364,288,18621.142672
1.3347416,288,18621.14268
1.4836384,288,18621.142687
2.3542793,288,18621.142694
2.0453427,288,18621.142702
2.2805014,288,18621.142709
1.6318974,288,18621.142717
3.6284769,288,18621.142724
1.3515806,288,18621.142732
2.8005443,288,18621.142739
2.4415045,288,18621.142747
1.8782537,288,18621.142754
0.9751014,288,18621.142762
1.7423258,288,18716.223154
2.31745,288,18716.223229
2.012733,288,18716.223242
0.37060243,288,18716.223267
1.5276679,288,18716.223277
2.778801,288,18716.223285
3.897081,288,18716.223293
2.083245,288,18716.223301
2.320094,288,18716.223308
3.4462416,288,18716.223316
2.0175827,288,18716.223324
2.6850047,288,18716.223331
1.1370571,288,18716.223339
0.5413973,288,18716.223346
3.0125132,288,18716.223354
1.0179586,288,18716.223362
0.6039838,288,18716.22337
0.27758282,288,18716.223377
2.3615067,288,18716.223385
1.477179,288,18716.223501
0.7559925,288,18716.223509
6.450957,288,18716.223516
2.0643282,288,18716.223523
1.9820249,288,18716.22353
1.3793027,288,18716.223539
3.5041535,288,18716.223547
3.547732,288,18716.223554
3.6868734,288,18716.223562
3.6489048,288,18716.223569
0.6160297,288,18716.223576
1.0466455,288,18716.223583
2.5003612,288,18716.223589
1.0930301,288,18716.223596
2.1178193,288,18716.223603
2.7834566,288,18716.22361
2.7618976,288,18716.223617
2.3318582,288,18716.223624
1.0319836,288,18716.223631
1.9203504,288,18716.223637
2.060403,288,18716.223644
0.70710576,288,18716.22365
2.8509371,288,18716.223657
2.0207372,288,18716.223664
0.7608207,288,18716.22367
1.0217713,288,18716.223677
3.1551328,288,18716.223684
1.5254499,288,18716.22369
1.4054136,288,18716.223697
2.2063956,288,18716.223704
2.4069948,288,18716.223711
1.8693409,288,18716.223718
2.5728884,288,18716.223725
1.6684725,288,18716.223732
1.5583977,288,18716.223738
0.18639351,288,18716.223745
1.7612717,288,18716.223752
1.659712,288,18716.22376
1.8644667,288,18716.223766
0.47482532,288,18716.223773
1.4573399,288,18716.22378
1.9831077,288,18716.223787
1.4525087,288,18716.223793
2.4597094,288,18716.2238
1.2561885,288,18716.223807
2.5486927,288,18716.223814
1.6363634,288,18716.22382
1.2978262,288,18716.223827
1.1923084,288,18716.223834
2.0263274,288,18716.223841
1.5431429,288,18716.223848
1.4465303,288,18716.223855
1.6574837,288,18716.223862
2.7126834,288,18716.223869
1.1985651,288,18716.223876
1.5115305,288,18716.223883
1.6069353,288,18716.22389
1.1476439,288,18716.223897
0.47486323,288,18716.223904
1.6895442,288,18716.223912
0.71996635,288,18716.223919
1.6223283,288,18716.223926
2.2439263,288,18716.223932
1.5493768,288,18716.22394
2.1558747,288,18716.223947
2.6713526,288,18716.223954
1.8645731,288,18716.223961
0.6701856,288,18716.223968
2.1184638,288,18716.223974
2.6481516,288,18716.223981
1.9973711,288,18716.223988
1.3836676,288,18716.223994
0.7864461,288,18716.224001
1.6363894,288,18716.224008
3.0655456,288,18716.224015
1.3594503,288,18716.224022
1.6556518,288,18716.224029
0.7524156,288,18716.224035
1.0796824,288,18716.224042
1.7446327,288,18716.224049
0.6071881,288,18716.224056
3.0441484,288,18716.224063
0.5173519,288,18716.22407
2.9103897,288,18716.224077
1.9629687,288,18716.224083
1.1412444,288,18716.224092
1.2973187,288,18716.224099
1.2005959,288,18716.224106
2.0909388,288,18716.224113
4.053874,288,18716.224127
0.96968085,288,18716.224134
0.45127022,288,18716.22414
0.7838216,288,18716.224147
2.5507464,288,18716.224154
2.2391083,288,18716.22416
0.6584946,288,18716.224167
2.7621543,288,18716.224174
0.6876831,288,18716.224181
1.6203703,288,18716.224188
2.1962743,288,18716.224195
2.1198418,288,18716.224201
1.0202012,288,18716.224208
1.9793192,288,18716.224215
1.2106379,288,18716.224222
0.29791915,288,18716.224229
2.4623137,288,18716.224235
1.1715045,288,18716.224242
1.9363403,288,18716.224248
1.4927747,288,18716.224256
2.1821425,288,18811.758996
2.0893986,288,18811.7591
1.7550387,288,18811.759114
1.8225988,288,18811.759146
1.8681947,288,18811.759155
1.3268435,288,18811.759163
1.1748048,288,18811.759171
1.3558389,288,18811.759178
0.7890925,288,18811.759186
5.1843543,288,18811.759194
3.775481,288,18811.759202
3.623763,288,18811.75921
1.9287447,288,18811.759218
1.7301624,288,18811.759225
1.7962267,288,18811.759233
1.0418899,288,18811.75924
1.9252447,288,18811.759248
1.9803237,288,18811.759255
1.6089435,288,18811.759263
1.3741388,288,18811.75927
1.1561713,288,18811.759278
2.047428,288,18811.759285
1.5807706,288,18811.759293
1.421423,288,18811.7593
2.4798157,288,18811.759309
2.3924563,288,18811.759317
2.0544426,288,18811.759325
3.0875213,288,18811.759333
1.8247963,288,18811.75934
1.9084888,288,18811.759347
2.9091063,288,18811.759356
1.868543,288,18811.759364
1.3325673,288,18811.759372
2.83022,288,18811.759379
2.1359246,288,18811.759387
2.5037355,288,18811.759395
1.2339222,288,18811.759403
2.5676286,288,18811.759411
4.1046834,288,18811.759434
0.47811893,288,18811.759442
1.5307109,288,18811.75945
3.1874037,288,18811.759457
0.98589486,288,18811.759465
2.9847445,288,18811.759471
3.0510662,288,18811.759478
2.5076342,288,18811.759485
0.44886696,288,18811.759492
3.1550071,288,18811.759501
1.3964639,288,18811.759508
2.4041424,288,18811.759515
0.8259983,288,18811.759522
0.7053085,288,18811.759529
2.8402164,288,18811.759536
1.5066091,288,18811.759542
1.6258488,288,18811.759549
3.2847621,288,18811.759557
2.8834689,288,18811.759564
2.4125657,288,18811.759571
2.6320148,288,18811.759578
0.79523456,288,18811.759584
2.3719661,288,18811.759591
2.041963,288,18811.759598
1.4206002,288,18811.759605
2.3390958,288,18811.759612
1.62209,288,18811.759619
1.0673423,288,18811.759625
2.4135482,288,18811.759632
1.8695897,288,18811.759639
1.8146218,288,18811.759646
4.8352757,288,18811.759653
2.7807937,288,18811.75966
2.7758734,288,18811.759667
1.7647357,288,18811.759674
2.4806726,288,18811.759681
4.142438,288,18811.759688
1.9416541,288,18811.759695
0.6281559,288,18811.759702
1.1512862,288,18811.759709
1.8795416,288,18811.759716
0.8293065,288,18811.759723
2.2630851,288,18811.75973
1.4579781,288,18811.759738
1.7208818,288,18811.759745
1.4323585,288,18811.759751
2.3935037,288,18811.759759
2.730222,288,18811.759766
1.8636199,288,18811.759773
1.5290316,288,18811.75978
4.363331,288,18811.759787
1.6531428,288,18811.759793
0.47967675,288,18811.7598
0.59029895,288,18811.759807
2.0576994,288,18811.759813
2.654767,288,18811.75982
1.7678937,288,18811.759827
3.5242174,288,18811.759834
1.6085643,288,18811.759841
1.3264097,288,18811.759849
0.11622778,288,18811.759856
1.6929781,288,18811.759862
2.972447,288,18811.759869
1.9639506,288,18811.759876
1.7615438,288,18811.759882
1.58292,288,18811.759889
1.6883634,288,18811.759898
1.4383584,288,18811.759905
1.0498027,288,18811.759912
3.0989287,288,18811.759918
0.9004755,288,18811.759925
2.3071187,288,18811.759932
3.362479,288,18811.759938
0.9774753,288,18811.759945
1.73795,288,18811.759952
2.5580087,288,18811.759959
4.2104564,288,18811.759965
2.007662,288,18811.759973
2.0398512,288,18811.759979
2.1790504,288,18811.759986
1.806551,288,18811.759992
1.0679971,288,18811.76
1.7522601,288,18811.760006
3.504457,288,18811.760013
0.60810965,288,18811.76002
3.5306091,288,18811.760026
2.745166,288,18811.760033
0.82589257,288,18811.76004
4.0353804,288,18811.760047
1.7607819,288,18811.760055
2.6246595,288,18907.112978
1.8270231,288,18907.113053
0.8866545,288,18907.113067
1.1239138,288,18907.113092
1.8409883,288,18907.113101
2.4968505,288,18907.113108
2.4194942,288,18907.113122
-0.022188384,288,18907.113132
1.523272,288,18907.113142
2.1847641,288,18907.113149
1.1607296,288,18907.113157
1.5135616,288,18907.113166
1.7691417,288,18907.113173
1.1205015,288,18907.113181
3.174946,288,18907.113189
1.8403703,288,18907.113196
0.6739062,288,18907.113204
2.5571034,288,18907.113212
1.471282,288,18907.113219
1.0350488,288,18907.113227
3.0211132,288,18907.113235
2.0881674,288,18907.113242
1.6370963,288,18907.113249
3.917889,288,18907.113257
3.996129,288,18907.113266
1.4353188,288,18907.113273
2.7078092,288,18907.113281
1.2166618,288,18907.113288
3.4734411,288,18907.113296
1.5131391,288,18907.113303
4.3043633,288,18907.113312
2.7390609,288,18907.113319
1.5561832,288,18907.113327
2.4062183,288,18907.113334
1.6793691,288,18907.113341
1.6127776,288,18907.113349
3.5271895,288,18907.113357
0.87915295,288,18907.113365
5.7721868,288,18907.113373
1.092298,288,18907.11338
1.4430009,288,18907.113388
0.7817639,288,18907.113395
3.5249808,288,18907.113402
0.7427789,288,18907.113409
1.9131924,288,18907.113416
1.0508921,288,18907.113424
1.953929,288,18907.113431
0.8847468,288,18907.11344
2.4985814,288,18907.113447
0.9268809,288,18907.113454
3.2754455,288,18907.113461
0.47843245,288,18907.113468
2.0850813,288,18907.113476
3.9752576,288,18907.113483
0.42600745,288,18907.113491
2.2273023,288,18907.113498
2.0888422,288,18907.113505
1.5344232,288,18907.113527
0.6553796,288,18907.113535
2.3172731,288,18907.113542
1.1088697,288,18907.113549
1.2391864,288,18907.113555
1.4254696,288,18907.113562
0.7261547,288,18907.113569
3.698101,288,18907.113576
2.4209542,288,18907.113583
2.3864892,288,18907.11359
1.85531,288,18907.113597
1.4151367,288,18907.113604
2.4095087,288,18907.113611
1.3678153,288,18907.113618
1.5351233,288,18907.113625
1.7453873,288,18907.113632
2.9391358,288,18907.113639
3.841411,288,18907.113646
2.3051436,288,18907.113652
1.3486813,288,18907.113659
1.9340038,288,18907.113666
1.9257998,288,18907.113673
2.6270695,288,18907.11368
0.9145052,288,18907.113687
3.9079463,288,18907.113693
2.7563763,288,18907.1137
0.9986117,288,18907.113707
1.884061,288,18907.113714
2.1541827,288,18907.11372
1.1717452,288,18907.113727
2.5270712,288,18907.113733
1.8332146,288,18907.11374
0.66484547,288,18907.113747
2.067087,288,18907.113754
1.4219713,288,18907.113761
3.550475,288,18907.113767
1.3182383,288,18907.113774
2.052756,288,18907.113781
2.424352,288,18907.113788
1.3086865,288,18907.113795
2.2663,288,18907.113801
1.610007,288,18907.113808
1.4624053,288,18907.113815
2.6532216,288,18907.113821
1.4812292,288,18907.113828
0.6284686,288,18907.113835
3.4973948,288,18907.113841
2.052628,288,18907.113848
0.10049138,288,18907.113854
2.8865404,288,18907.113861
2.1063461,288,18907.113868
1.1372199,288,18907.113875
2.4129498,288,18907.113881
2.2214234,288,18907.113888
2.0990663,288,18907.113895
3.0582623,288,18907.113902
0.7265296,288,18907.113908
2.486933,288,18907.113915
1.4955101,288,18907.113922
1.6935608,288,18907.113928
1.9132963,288,18907.113934
1.5301251,288,18907.113941
2.7611372,288,18907.113947
3.3864613,288,18907.113954
1.9250833,288,18907.113961
1.5630854,288,18907.113967
1.4700267,288,18907.113974
1.8426147,288,18907.113981
2.692225,288,18907.113987
1.7613796,288,18907.113993
1.0089287,288,18907.114
1.80318,288,19002.57896
0.6708919,288,19002.579036
0.8263499,288,19002.57905
3.698297,288,19002.579076
2.3840551,288,19002.579084
2.7420413,288,19002.579093
4.001872,288,19002.5791
1.5179821,288,19002.579108
1.7174423,288,19002.579116
2.5840936,288,19002.579131
1.3679429,288,19002.579139
0.3659299,288,19002.579147
2.9465077,288,19002.579156
1.4016993,288,19002.579164
2.4099355,288,19002.579172
2.2239425,288,19002.579179
2.213166,288,19002.579186
3.2353039,288,19002.579193
0.71151894,288,19002.579201
1.4596169,288,19002.579208
0.8577941,288,19002.579216
2.0139213,288,19002.579224
1.9405667,288,19002.579232
2.1292808,288,19002.579239
3.3029003,288,19002.579248
2.2055383,288,19002.579257
1.8385801,288,19002.579266
2.0725467,288,19002.579273
3.0840201,288,19002.579281
0.83451754,288,19002.579289
2.435501,288,19002.579297
3.5501072,288,19002.579304
2.5596116,288,19002.579312
0.77802503,288,19002.579319
1.7114999,288,19002.579327
0.9105037,288,19002.579335
1.8585869,288,19002.579343
2.4491887,288,19002.579351
2.2779105,288,19002.579359
0.4982771,288,19002.579366
2.653354,288,19002.579374
1.6732131,288,19002.579381
1.0005938,288,19002.579388
4.5697417,288,19002.579396
0.8700932,288,19002.579404
1.9353222,288,19002.579411
0.9462499,288,19002.579418
3.1388927,288,19002.579426
1.2547281,288,19002.579433
1.6225455,288,19002.579441
1.1989452,288,19002.579448
0.96221703,288,19002.579456
2.8997684,288,19002.579463
0.57646304,288,19002.57947
1.5045556,288,19002.579478
2.4222562,288,19002.579485
2.125832,288,19002.579493
1.578969,288,19002.5795
2.6557944,288,19002.579508
4.10367,288,19002.579515
2.9944124,288,19002.579523
2.02364,288,19002.57953
2.4227738,288,19002.579538
3.4586866,288,19002.579545
0.8643616,288,19002.579552
1.5995535,288,19002.57956
0.81976897,288,19002.579568
2.4168465,288,19002.579575
2.2968428,288,19002.579583
0.7851098,288,19002.579591
3.234251,288,19002.579599
1.6652493,288,19002.579607
2.1668756,288,19002.579614
5.163595,288,19002.579622
1.6617512,288,19002.57963
1.9974526,288,19002.579637
2.5239825,288,19002.579645
0.54733896,288,19002.579666
